============================================================
  株式シグナルレポート  2026-09-18
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         213.90    44.3    -0.80%
  AMD      ⚪ HOLD         512.50    58.5    +4.74%
  TSM      ⚪ HOLD         417.72    47.4    -0.37%
  INTC     ⚪ HOLD         101.05    57.0    +3.07%
  AVGO     ⚪ HOLD         339.51    28.1    -8.92%
  QCOM     ⚪ HOLD         184.84    70.5    +7.57%
  MU       ⚪ HOLD         926.55    43.9    -1.48%
  AMAT     ⚪ HOLD         415.38    28.8   -14.07%
  AAPL     ⚪ HOLD         332.41    64.9    +4.52%
  MSFT     ⚪ HOLD         490.30    47.4    +2.98%
  GOOGL    ⚪ HOLD         342.87    51.4    -0.52%
  META     ⚪ HOLD         673.31    78.3   +10.91%
  AMZN     ⚪ HOLD         245.96    34.9    -3.86%
  SOXL     ⚪ HOLD         103.97    40.0   -18.83%
  SOXS     ⚪ HOLD          50.11    53.6   -47.95%
  TQQQ     ⚪ HOLD          67.93    39.3    -4.37%
  SQQQ     ⚪ HOLD          40.61    59.6    +2.42%
  UPRO     ⚪ HOLD         142.10    36.2    -3.51%
  SPXS     ⚪ HOLD          26.10    63.6    +3.01%
  FNGG     ⚪ HOLD         257.96    46.8    +1.45%
  TECL     ⚪ HOLD         193.84    44.8    -2.37%
  TSLL     ⚪ HOLD           9.31    49.0    -2.95%
  NUGT     ⚪ HOLD         166.79    40.6    -1.74%
  SOFI     ⚪ HOLD          16.84    39.0    -5.15%
  CLSK     ⚪ HOLD          12.79    51.1    -0.73%
  MSTR     ⚪ HOLD         126.18    49.8    +5.67%
  COIN     ⚪ HOLD         164.51    43.4    -3.80%
  SPY      ⚪ HOLD         754.05    37.5    -0.84%
  QQQ      ⚪ HOLD         704.72    40.8    -0.97%
  IWM      ⚪ HOLD         283.92    28.4    -3.16%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         213.90    44.3    -0.80%
  AMD      ⚪ HOLD         512.50    58.5    +4.74%
  TSM      ⚪ HOLD         417.72    47.4    -0.37%
  INTC     ⚪ HOLD         101.05    57.0    +3.07%
  AVGO     ⚪ HOLD         339.51    28.1    -8.92%
  QCOM     ⚪ HOLD         184.84    70.5    +7.57%
  MU       ⚪ HOLD         926.55    43.9    -1.48%
  AMAT     ⚪ HOLD         415.38    28.8   -14.07%
  AAPL     ⚪ HOLD         332.41    64.9    +4.52%
  MSFT     ⚪ HOLD         490.30    47.4    +2.98%
  GOOGL    ⚪ HOLD         342.87    51.4    -0.52%
  META     ⚪ HOLD         673.31    78.3   +10.91%
  AMZN     ⚪ HOLD         245.96    34.9    -3.86%
  SOXL     ⚪ HOLD         103.97    40.0   -18.83%
  SOXS     ⚪ HOLD          50.11    53.6   -47.95%
  TQQQ     ⚪ HOLD          67.93    39.3    -4.37%
  SQQQ     ⚪ HOLD          40.61    59.6    +2.42%
  UPRO     ⚪ HOLD         142.10    36.2    -3.51%
  SPXS     ⚪ HOLD          26.10    63.6    +3.01%
  FNGG     ⚪ HOLD         257.96    46.8    +1.45%
  TECL     ⚪ HOLD         193.84    44.8    -2.37%
  TSLL     ⚪ HOLD           9.31    49.0    -2.95%
  NUGT     ⚪ HOLD         166.79    40.6    -1.74%
  SOFI     ⚪ HOLD          16.84    39.0    -5.15%
  CLSK     ⚪ HOLD          12.79    51.1    -0.73%
  MSTR     ⚪ HOLD         126.18    49.8    +5.67%
  COIN     ⚪ HOLD         164.51    43.4    -3.80%
  SPY      ⚪ HOLD         754.05    37.5    -0.84%
  QQQ      ⚪ HOLD         704.72    40.8    -0.97%
  IWM      ⚪ HOLD         283.92    28.4    -3.16%

============================================================
