signal_date,ticker,strategy,signal,close,rsi,deviation,score,adx,ret_5d,ticker_class
2026-04-09,AAPL,トレンドフォロー,HOLD,260.49,59.5,1.11,,,,
2026-04-09,AMAT,トレンドフォロー,HOLD,397.81,70.1,14.08,,,,
2026-04-09,AMD,トレンドフォロー,HOLD,236.64,72.5,12.25,,,,
2026-04-09,AMZN,トレンドフォロー,HOLD,233.65,75.2,9.18,,,,
2026-04-09,AVGO,トレンドフォロー,HOLD,354.91,71.8,9.01,,,,
2026-04-09,CLSK,トレンドフォロー,HOLD,10.2,61.8,3.72,,,,
2026-04-09,COIN,トレンドフォロー,HOLD,169.02,38.8,-9.31,,,,
2026-04-09,FNGG,トレンドフォロー,HOLD,175.96,63.8,3.66,,,,
2026-04-09,GOOGL,トレンドフォロー,HOLD,318.49,68.2,4.86,,,,
2026-04-09,INTC,トレンドフォロー,HOLD,61.72,80.2,30.53,,,,
2026-04-09,IWM,トレンドフォロー,HOLD,261.96,67.4,3.44,,,,
2026-04-09,META,トレンドフォロー,HOLD,628.39,62.7,2.49,,,,
2026-04-09,MSFT,トレンドフォロー,HOLD,373.07,42.3,-4.93,,,,
2026-04-09,MSTR,トレンドフォロー,HOLD,128.86,48.2,-5.02,,,,
2026-04-09,MU,トレンドフォロー,HOLD,421.51,61.5,8.38,,,,
2026-04-09,NUGT,トレンドフォロー,HOLD,215.07,59.9,2.94,,,,
2026-04-09,NVDA,トレンドフォロー,HOLD,183.91,61.4,2.2,,,,
2026-04-09,QCOM,トレンドフォロー,HOLD,127.75,44.2,-5.2,,,,
2026-04-09,QQQ,トレンドフォロー,HOLD,610.19,65.8,2.41,,,,
2026-04-09,SOFI,トレンドフォロー,HOLD,16.27,44.0,-10.14,,,,
2026-04-09,SOXL,トレンドフォロー,HOLD,71.98,72.1,28.52,,,,
2026-04-09,SOXS,トレンドフォロー,SELL,25.2,28.9,-34.24,,,,
2026-04-09,SPXS,トレンドフォロー,HOLD,35.36,33.5,-6.4,,,,
2026-04-09,SPY,トレンドフォロー,HOLD,679.91,66.8,2.0,,,,
2026-04-09,SQQQ,トレンドフォロー,HOLD,67.86,34.2,-8.35,,,,
2026-04-09,TECL,トレンドフォロー,HOLD,104.8,63.4,5.68,,,,
2026-04-09,TQQQ,トレンドフォロー,HOLD,48.96,64.5,5.0,,,,
2026-04-09,TSLL,トレンドフォロー,SELL,10.45,33.0,-22.14,,,,
2026-04-09,TSM,トレンドフォロー,HOLD,365.49,65.2,6.34,,,,
2026-04-09,UPRO,トレンドフォロー,HOLD,110.36,65.6,4.25,,,,
2026-04-09,AAPL,逆張り,HOLD,260.49,59.5,1.11,,,,
2026-04-09,AMAT,逆張り,SELL,397.81,70.1,14.08,,,,
2026-04-09,AMD,逆張り,SELL,236.64,72.5,12.25,,,,
2026-04-09,AMZN,逆張り,HOLD,233.65,75.2,9.18,,,,
2026-04-09,AVGO,逆張り,HOLD,354.91,71.8,9.01,,,,
2026-04-09,CLSK,逆張り,HOLD,10.2,61.8,3.72,,,,
2026-04-09,COIN,逆張り,HOLD,169.02,38.8,-9.31,,,,
2026-04-09,FNGG,逆張り,HOLD,175.96,63.8,3.66,,,,
2026-04-09,GOOGL,逆張り,HOLD,318.49,68.2,4.86,,,,
2026-04-09,INTC,逆張り,SELL,61.72,80.2,30.53,,,,
2026-04-09,IWM,逆張り,HOLD,261.96,67.4,3.44,,,,
2026-04-09,META,逆張り,HOLD,628.39,62.7,2.49,,,,
2026-04-09,MSFT,逆張り,HOLD,373.07,42.3,-4.93,,,,
2026-04-09,MSTR,逆張り,HOLD,128.86,48.2,-5.02,,,,
2026-04-09,MU,逆張り,HOLD,421.51,61.5,8.38,,,,
2026-04-09,NUGT,逆張り,HOLD,215.07,59.9,2.94,,,,
2026-04-09,NVDA,逆張り,HOLD,183.91,61.4,2.2,,,,
2026-04-09,QCOM,逆張り,HOLD,127.75,44.2,-5.2,,,,
2026-04-09,QQQ,逆張り,HOLD,610.19,65.8,2.41,,,,
2026-04-09,SOFI,逆張り,HOLD,16.27,44.0,-10.14,,,,
2026-04-09,SOXL,逆張り,SELL,71.98,72.1,28.52,,,,
2026-04-09,SOXS,逆張り,BUY,25.2,28.9,-34.24,,,,
2026-04-09,SPXS,逆張り,HOLD,35.36,33.5,-6.4,,,,
2026-04-09,SPY,逆張り,HOLD,679.91,66.8,2.0,,,,
2026-04-09,SQQQ,逆張り,HOLD,67.86,34.2,-8.35,,,,
2026-04-09,TECL,逆張り,HOLD,104.8,63.4,5.68,,,,
2026-04-09,TQQQ,逆張り,HOLD,48.96,64.5,5.0,,,,
2026-04-09,TSLL,逆張り,HOLD,10.45,33.0,-22.14,,,,
2026-04-09,TSM,逆張り,HOLD,365.49,65.2,6.34,,,,
2026-04-09,UPRO,逆張り,HOLD,110.36,65.6,4.25,,,,
2026-04-10,AAPL,トレンドフォロー,HOLD,260.48,59.4,1.05,,,,
2026-04-10,AMAT,トレンドフォロー,HOLD,399.49,70.6,13.75,,,,
2026-04-10,AMD,トレンドフォロー,HOLD,245.04,76.3,15.32,,,,
2026-04-10,AMZN,トレンドフォロー,HOLD,238.38,77.8,10.78,,,,
2026-04-10,AVGO,トレンドフォロー,BUY,371.55,77.2,13.34,,,,
2026-04-10,CLSK,トレンドフォロー,HOLD,10.02,58.6,1.8,,,,
2026-04-10,COIN,トレンドフォロー,HOLD,167.85,37.8,-9.5,,,,
2026-04-10,FNGG,トレンドフォロー,HOLD,178.69,66.0,5.0,,,,
2026-04-10,GOOGL,トレンドフォロー,HOLD,317.24,66.5,4.22,,,,
2026-04-10,INTC,トレンドフォロー,HOLD,62.38,80.8,29.9,,,,
2026-04-10,IWM,トレンドフォロー,HOLD,261.3,65.8,3.02,,,,
2026-04-10,META,トレンドフォロー,HOLD,629.86,63.1,2.59,,,,
2026-04-10,MSFT,トレンドフォロー,HOLD,370.87,39.6,-5.24,,,,
2026-04-10,MSTR,トレンドフォロー,HOLD,128.64,47.9,-4.95,,,,
2026-04-10,MU,トレンドフォロー,HOLD,420.59,61.1,7.72,,,,
2026-04-10,NUGT,トレンドフォロー,HOLD,219.27,61.8,4.7,,,,
2026-04-10,NVDA,トレンドフォロー,HOLD,188.63,67.4,4.58,,,,
2026-04-10,QCOM,トレンドフォロー,HOLD,128.06,45.5,-4.74,,,,
2026-04-10,QQQ,トレンドフォロー,HOLD,611.07,66.3,2.43,,,,
2026-04-10,SOFI,トレンドフォロー,HOLD,16.22,43.2,-9.96,,,,
2026-04-10,SOXL,トレンドフォロー,HOLD,76.39,75.1,34.02,,,,
2026-04-10,SOXS,トレンドフォロー,SELL,23.69,27.3,-37.0,,,,
2026-04-10,SPXS,トレンドフォロー,HOLD,35.48,34.2,-5.81,,,,
2026-04-10,SPY,トレンドフォロー,HOLD,679.46,66.3,1.83,,,,
2026-04-10,SQQQ,トレンドフォロー,HOLD,67.62,33.8,-8.28,,,,
2026-04-10,TECL,トレンドフォロー,HOLD,105.95,64.6,6.49,,,,
2026-04-10,TQQQ,トレンドフォロー,HOLD,49.17,65.1,5.17,,,,
2026-04-10,TSLL,トレンドフォロー,SELL,10.61,35.2,-20.13,,,,
2026-04-10,TSM,トレンドフォロー,BUY,370.6,67.7,7.42,,,,
2026-04-10,UPRO,トレンドフォロー,HOLD,110.01,64.7,3.72,,,,
2026-04-10,AAPL,逆張り,HOLD,260.48,59.4,1.05,,,,
2026-04-10,AMAT,逆張り,SELL,399.49,70.6,13.75,,,,
2026-04-10,AMD,逆張り,SELL,245.04,76.3,15.32,,,,
2026-04-10,AMZN,逆張り,SELL,238.38,77.8,10.78,,,,
2026-04-10,AVGO,逆張り,SELL,371.55,77.2,13.34,,,,
2026-04-10,CLSK,逆張り,HOLD,10.02,58.6,1.8,,,,
2026-04-10,COIN,逆張り,HOLD,167.85,37.8,-9.5,,,,
2026-04-10,FNGG,逆張り,HOLD,178.69,66.0,5.0,,,,
2026-04-10,GOOGL,逆張り,HOLD,317.24,66.5,4.22,,,,
2026-04-10,INTC,逆張り,SELL,62.38,80.8,29.9,,,,
2026-04-10,IWM,逆張り,HOLD,261.3,65.8,3.02,,,,
2026-04-10,META,逆張り,HOLD,629.86,63.1,2.59,,,,
2026-04-10,MSFT,逆張り,HOLD,370.87,39.6,-5.24,,,,
2026-04-10,MSTR,逆張り,HOLD,128.64,47.9,-4.95,,,,
2026-04-10,MU,逆張り,HOLD,420.59,61.1,7.72,,,,
2026-04-10,NUGT,逆張り,HOLD,219.27,61.8,4.7,,,,
2026-04-10,NVDA,逆張り,HOLD,188.63,67.4,4.58,,,,
2026-04-10,QCOM,逆張り,HOLD,128.06,45.5,-4.74,,,,
2026-04-10,QQQ,逆張り,HOLD,611.07,66.3,2.43,,,,
2026-04-10,SOFI,逆張り,HOLD,16.22,43.2,-9.96,,,,
2026-04-10,SOXL,逆張り,SELL,76.39,75.1,34.02,,,,
2026-04-10,SOXS,逆張り,BUY,23.69,27.3,-37.0,,,,
2026-04-10,SPXS,逆張り,HOLD,35.48,34.2,-5.81,,,,
2026-04-10,SPY,逆張り,HOLD,679.46,66.3,1.83,,,,
2026-04-10,SQQQ,逆張り,HOLD,67.62,33.8,-8.28,,,,
2026-04-10,TECL,逆張り,HOLD,105.95,64.6,6.49,,,,
2026-04-10,TQQQ,逆張り,HOLD,49.17,65.1,5.17,,,,
2026-04-10,TSLL,逆張り,HOLD,10.61,35.2,-20.13,,,,
2026-04-10,TSM,逆張り,HOLD,370.6,67.7,7.42,,,,
2026-04-10,UPRO,逆張り,HOLD,110.01,64.7,3.72,,,,
2026-04-13,AAPL,トレンドフォロー,HOLD,259.2,56.4,0.53,,,,
2026-04-13,AMAT,トレンドフォロー,HOLD,395.73,67.8,11.99,,,,
2026-04-13,AMD,トレンドフォロー,HOLD,246.83,77.0,15.26,,,,
2026-04-13,AMZN,トレンドフォロー,HOLD,239.89,78.5,10.86,,,,
2026-04-13,AVGO,トレンドフォロー,HOLD,379.75,79.3,14.96,,,,
2026-04-13,CLSK,トレンドフォロー,HOLD,10.76,66.5,8.82,,,,
2026-04-13,COIN,トレンドフォロー,HOLD,174.53,46.6,-5.63,,,,
2026-04-13,FNGG,トレンドフォロー,HOLD,183.17,69.4,7.23,,,,
