signal_date,ticker,strategy,signal,close,rsi,deviation,score,adx,ret_5d,ticker_class,raw_signal
2022-08-23,AAPL,トレンドフォロー,HOLD,164.0253,52.68,4.4525,-1.277,36.41,-0.0335,plain,HOLD
2022-08-23,AMAT,トレンドフォロー,HOLD,98.3742,44.19,-1.4873,-2.406,15.66,-0.0605,plain,HOLD
2022-08-23,AMD,トレンドフォロー,HOLD,92.49,41.89,-1.016,-1.518,19.73,-0.0769,plain,HOLD
2022-08-23,AMZN,トレンドフォロー,HOLD,133.62,45.06,2.5986,-2.05,33.04,-0.0771,plain,HOLD
2022-08-23,AVGO,トレンドフォロー,HOLD,49.6332,44.61,-0.5546,-6.326,20.24,-0.0396,plain,SELL
2022-08-23,CLSK,トレンドフォロー,HOLD,4.35,40.16,-11.2925,-7.219,20.83,-0.2204,plain,SELL
2022-08-23,COIN,トレンドフォロー,HOLD,71.18,41.05,-5.7473,-2.294,23.91,-0.2125,plain,HOLD
2022-08-23,GOOGL,トレンドフォロー,HOLD,112.8593,39.51,-1.7985,-2.258,14.19,-0.0644,plain,HOLD
2022-08-23,INTC,トレンドフォロー,HOLD,32.301,32.3,-8.225,-2.337,17.95,-0.0619,plain,HOLD
2022-08-23,IWM,トレンドフォロー,HOLD,181.3498,47.26,1.8774,-2.776,27.01,-0.05,plain,HOLD
2022-08-23,META,トレンドフォロー,HOLD,159.7075,35.91,-6.1116,-3.909,16.83,-0.1023,plain,HOLD
2022-08-23,MSFT,トレンドフォロー,HOLD,267.529,42.31,0.4027,-2.234,19.03,-0.0536,plain,HOLD
2022-08-23,MSTR,トレンドフォロー,HOLD,26.58,35.63,-5.29,-4.789,31.35,-0.2243,plain,SELL
2022-08-23,MU,トレンドフォロー,HOLD,56.7487,36.4,-6.4452,-4.793,13.18,-0.094,plain,HOLD
2022-08-23,NUGT,トレンドフォロー,HOLD,28.1389,42.33,-11.2954,-5.881,20.62,-0.078,long_lev,SELL
2022-08-23,NVDA,トレンドフォロー,HOLD,17.1334,42.03,-2.9189,-1.14,14.66,-0.0899,plain,HOLD
2022-08-23,QCOM,トレンドフォロー,HOLD,128.5942,38.09,-2.4873,-4.484,15.1,-0.0621,plain,HOLD
2022-08-23,QQQ,トレンドフォロー,HOLD,306.5243,42.8,0.5842,-3.114,27.63,-0.0547,plain,HOLD
2022-08-23,SOFI,トレンドフォロー,HOLD,6.17,35.19,-9.3212,-6.373,21.08,-0.186,plain,SELL
2022-08-23,SOXL,トレンドフォロー,HOLD,16.8423,40.93,-8.2978,-2.3,16.16,-0.1802,long_lev,HOLD
2022-08-23,SOXS,トレンドフォロー,HOLD,1051343.25,53.01,-6.674,1.845,17.04,0.1794,inverse_lev,HOLD
2022-08-23,SPXS,トレンドフォロー,HOLD,173.0266,52.48,-5.5082,1.207,27.42,0.1305,inverse_lev,HOLD
2022-08-23,SPY,トレンドフォロー,HOLD,390.8745,45.28,1.0442,-2.4,28.4,-0.0404,plain,HOLD
2022-08-23,SQQQ,トレンドフォロー,HOLD,787.3866,53.95,-6.7602,2.587,27.17,0.1778,inverse_lev,HOLD
2022-08-23,TECL,トレンドフォロー,HOLD,36.1631,41.97,0.2502,-6.921,27.96,-0.1471,long_lev,HOLD
2022-08-23,TQQQ,トレンドフォロー,HOLD,15.4661,40.98,-1.2688,-6.251,26.81,-0.1599,long_lev,SELL
2022-08-23,TSM,トレンドフォロー,HOLD,80.7663,43.63,-1.484,-2.137,11.51,-0.0436,plain,HOLD
2022-08-23,UPRO,トレンドフォロー,HOLD,42.8682,43.53,1.1893,-2.644,27.72,-0.1195,long_lev,HOLD
2022-08-23,AAPL,逆張り,HOLD,164.0253,52.68,4.4525,0.0,36.41,-0.0335,plain,HOLD
2022-08-23,AMAT,逆張り,HOLD,98.3742,44.19,-1.4873,0.0,15.66,-0.0605,plain,HOLD
2022-08-23,AMD,逆張り,HOLD,92.49,41.89,-1.016,1.0,19.73,-0.0769,plain,HOLD
2022-08-23,AMZN,逆張り,HOLD,133.62,45.06,2.5986,1.0,33.04,-0.0771,plain,HOLD
2022-08-23,AVGO,逆張り,HOLD,49.6332,44.61,-0.5546,1.0,20.24,-0.0396,plain,HOLD
2022-08-23,CLSK,逆張り,HOLD,4.35,40.16,-11.2925,2.5,20.83,-0.2204,plain,HOLD
2022-08-23,COIN,逆張り,HOLD,71.18,41.05,-5.7473,1.0,23.91,-0.2125,plain,HOLD
2022-08-23,GOOGL,逆張り,HOLD,112.8593,39.51,-1.7985,1.0,14.19,-0.0644,plain,HOLD
2022-08-23,INTC,逆張り,HOLD,32.301,32.3,-8.225,1.0,17.95,-0.0619,plain,HOLD
2022-08-23,IWM,逆張り,HOLD,181.3498,47.26,1.8774,0.0,27.01,-0.05,plain,HOLD
2022-08-23,META,逆張り,HOLD,159.7075,35.91,-6.1116,1.0,16.83,-0.1023,plain,HOLD
2022-08-23,MSFT,逆張り,HOLD,267.529,42.31,0.4027,1.0,19.03,-0.0536,plain,HOLD
2022-08-23,MSTR,逆張り,HOLD,26.58,35.63,-5.29,3.0,31.35,-0.2243,plain,HOLD
2022-08-23,MU,逆張り,HOLD,56.7487,36.4,-6.4452,2.5,13.18,-0.094,plain,HOLD
2022-08-23,NUGT,逆張り,HOLD,28.1389,42.33,-11.2954,1.5,20.62,-0.078,long_lev,HOLD
2022-08-23,NVDA,逆張り,HOLD,17.1334,42.03,-2.9189,1.0,14.66,-0.0899,plain,HOLD
2022-08-23,QCOM,逆張り,HOLD,128.5942,38.09,-2.4873,2.5,15.1,-0.0621,plain,HOLD
2022-08-23,QQQ,逆張り,HOLD,306.5243,42.8,0.5842,1.0,27.63,-0.0547,plain,HOLD
2022-08-23,SOFI,逆張り,HOLD,6.17,35.19,-9.3212,3.0,21.08,-0.186,plain,HOLD
2022-08-23,SOXL,逆張り,HOLD,16.8423,40.93,-8.2978,1.0,16.16,-0.1802,long_lev,HOLD
2022-08-23,SOXS,逆張り,HOLD,1051343.25,53.01,-6.674,0.0,17.04,0.1794,inverse_lev,HOLD
2022-08-23,SPXS,逆張り,HOLD,173.0266,52.48,-5.5082,0.0,27.42,0.1305,inverse_lev,HOLD
2022-08-23,SPY,逆張り,HOLD,390.8745,45.28,1.0442,1.0,28.4,-0.0404,plain,HOLD
2022-08-23,SQQQ,逆張り,HOLD,787.3866,53.95,-6.7602,0.0,27.17,0.1778,inverse_lev,HOLD
2022-08-23,TECL,逆張り,HOLD,36.1631,41.97,0.2502,1.0,27.96,-0.1471,long_lev,HOLD
2022-08-23,TQQQ,逆張り,HOLD,15.4661,40.98,-1.2688,1.0,26.81,-0.1599,long_lev,HOLD
2022-08-23,TSM,逆張り,HOLD,80.7663,43.63,-1.484,0.0,11.51,-0.0436,plain,HOLD
2022-08-23,UPRO,逆張り,HOLD,42.8682,43.53,1.1893,1.0,27.72,-0.1195,long_lev,HOLD
2022-08-24,AAPL,トレンドフォロー,HOLD,164.3196,53.54,4.4036,-0.638,35.13,-0.0402,plain,HOLD
2022-08-24,AMAT,トレンドフォロー,HOLD,98.1903,43.83,-1.5912,-1.953,15.43,-0.0402,plain,HOLD
2022-08-24,AMD,トレンドフォロー,HOLD,92.73,42.56,-0.7224,-1.509,18.68,-0.0564,plain,HOLD
2022-08-24,AMZN,トレンドフォロー,HOLD,133.8,45.48,2.5999,-1.775,31.36,-0.0584,plain,HOLD
2022-08-24,AVGO,トレンドフォロー,HOLD,49.7325,45.3,-0.3383,-2.082,19.57,-0.0144,plain,HOLD
2022-08-24,CLSK,トレンドフォロー,HOLD,4.56,44.46,-6.691,-3.33,19.36,-0.1041,plain,HOLD
2022-08-24,COIN,トレンドフォロー,HOLD,71.48,41.47,-5.1024,-1.897,22.44,-0.1634,plain,HOLD
2022-08-24,GOOGL,トレンドフォロー,HOLD,112.6908,39.07,-1.8519,-1.879,14.16,-0.049,plain,HOLD
2022-08-24,INTC,トレンドフォロー,HOLD,32.2153,31.77,-8.0886,-2.168,19.0,-0.0537,plain,HOLD
2022-08-24,IWM,トレンドフォロー,HOLD,182.7364,50.92,2.5235,-0.888,25.43,-0.0263,plain,HOLD
2022-08-24,META,トレンドフォロー,HOLD,161.8388,39.88,-4.6326,-2.954,16.44,-0.0663,plain,HOLD
2022-08-24,MSFT,トレンドフォロー,HOLD,266.8999,41.44,0.1585,-1.992,18.37,-0.0533,plain,HOLD
2022-08-24,MSTR,トレンドフォロー,HOLD,27.441,40.1,-2.116,-4.645,29.72,-0.1562,plain,SELL
2022-08-24,MU,トレンドフォロー,HOLD,57.1901,38.52,-5.4539,-3.272,13.97,-0.0537,plain,HOLD
2022-08-24,NUGT,トレンドフォロー,HOLD,28.691,46.08,-9.1314,-2.095,19.86,0.0107,long_lev,HOLD
2022-08-24,NVDA,トレンドフォロー,HOLD,17.1743,42.54,-2.5595,-4.045,14.44,-0.0607,plain,HOLD
2022-08-24,QCOM,トレンドフォロー,HOLD,129.1334,39.52,-1.9791,-2.867,15.11,-0.0486,plain,HOLD
2022-08-24,QQQ,トレンドフォロー,HOLD,307.4123,44.26,0.8326,-2.557,25.75,-0.041,plain,HOLD
2022-08-24,SOFI,トレンドフォロー,HOLD,6.45,41.88,-4.9648,-2.937,20.07,-0.0625,plain,HOLD
2022-08-24,SOXL,トレンドフォロー,HOLD,16.92,41.38,-7.5193,-2.8,16.2,-0.1095,long_lev,HOLD
2022-08-24,SOXS,トレンドフォロー,HOLD,1049283.375,52.81,-6.5442,1.673,16.0,0.094,inverse_lev,HOLD
2022-08-24,SPXS,トレンドフォロー,HOLD,171.4702,50.55,-6.0669,1.854,25.99,0.0956,inverse_lev,HOLD
2022-08-24,SPY,トレンドフォロー,HOLD,392.1258,47.44,1.3001,-1.95,26.65,-0.0304,plain,HOLD
2022-08-24,SQQQ,トレンドフォロー,HOLD,780.6399,52.55,-7.217,2.044,25.69,0.1279,inverse_lev,HOLD
2022-08-24,TECL,トレンドフォロー,HOLD,36.2371,42.32,0.4332,-5.711,26.2,-0.1273,long_lev,HOLD
2022-08-24,TQQQ,トレンドフォロー,HOLD,15.5852,42.29,-0.4837,-5.375,25.02,-0.1231,long_lev,SELL
2022-08-24,TSM,トレンドフォロー,HOLD,80.3251,42.05,-1.9255,-2.718,11.07,-0.0408,plain,HOLD
2022-08-24,UPRO,トレンドフォロー,HOLD,43.2343,45.48,1.9515,-2.322,25.83,-0.0924,long_lev,HOLD
2022-08-24,AAPL,逆張り,HOLD,164.3196,53.54,4.4036,0.0,35.13,-0.0402,plain,HOLD
